"","item_id","category","price","sellable_online","other_colors","depth","height","width"
"263",29286417,"Bookcases & shelving units",265,TRUE,"Yes",35,80,35
"264",50205179,"Outdoor furniture",425,TRUE,"No",80,73,80
"265",70284203,"Beds",995,TRUE,"No",72,72,149
"266",39251993,"Outdoor furniture",950,TRUE,"No",94,90,83
"267",80275887,"Bookcases & shelving units",250,TRUE,"Yes",39,147,77
"268",59277015,"Chairs",4265,TRUE,"No",NA,74,100
"269",70340567,"Beds",1995,TRUE,"No",86,74,225
"270",99211621,"Sofas & armchairs",2085,TRUE,"Yes",NA,83,87
"271",20245964,"TV & media furniture",135,TRUE,"Yes",40,64,60
"272",29292442,"Sofas & armchairs",3875,TRUE,"Yes",98,83,246
"273",89214309,"Tables & desks",420,TRUE,"No",NA,74,60
"274",40411410,"Beds",200,TRUE,"No",45,73,95
"275",30099293,"Beds",95,TRUE,"No",NA,7,NA
"276",30342479,"Cabinets & cupboards",32,TRUE,"No",18,NA,24
"277",19285927,"Tables & desks",4025,TRUE,"No",NA,NA,NA
"278",69291394,"TV & media furniture",1735.5,TRUE,"No",42,191,280
"279",50391850,"Outdoor furniture",80,TRUE,"No",62,NA,62
"280",40240989,"Chairs",69,TRUE,"No",NA,15,38
"281",50468953,"Beds",995,TRUE,"No",83,86,92
"282",99197696,"Chairs",195,TRUE,"Yes",50,84,52
"283",428974,"Café furniture",145,TRUE,"No",29,45,45
"284",79284958,"Sofas & armchairs",3805,TRUE,"Yes",164,83,322
"285",19240750,"Chairs",2725,TRUE,"No",NA,74,87
"286",39157387,"Wardrobes",2656,TRUE,"No",50,NA,258
"287",19297275,"Bar furniture",1266,TRUE,"No",NA,NA,NA
"288",10331014,"Chairs",25,TRUE,"No",38,NA,NA
"289",10460888,"Nursery furniture",495,TRUE,"No",50,187,80
"290",276664,"Chairs",995,TRUE,"Yes",78,90,86
"291",80261183,"Tables & desks",595,TRUE,"No",NA,63,NA
"292",70443626,"TV & media furniture",100,TRUE,"Yes",NA,38,60
"293",19189030,"Cabinets & cupboards",656,TRUE,"Yes",35,210,80
"294",79248319,"Bookcases & shelving units",440,TRUE,"No",30,179,134
"295",89305795,"Wardrobes",1890,TRUE,"No",66,236,150
"296",10323599,"Cabinets & cupboards",69,TRUE,"Yes",NA,NA,NA
"297",90246291,"Chairs",445,TRUE,"Yes",63,99,57
"298",9291622,"Bookcases & shelving units",1145,TRUE,"No",37,161,251
"299",80379347,"Chairs",495,TRUE,"Yes",NA,80,66
"300",60400745,"Bar furniture",475,TRUE,"No",40,NA,40
"301",20433903,"Tables & desks",837,TRUE,"No",NA,75,75
"302",49282989,"Sofas & armchairs",3120,TRUE,"Yes",151,83,285
"303",80213309,"Tables & desks",179,TRUE,"No",NA,45,NA
"304",20320128,"Beds",1495,TRUE,"No",NA,86,88
"305",29241160,"Beds",1245,TRUE,"Yes",64,14,153
"306",39329299,"Wardrobes",1260,TRUE,"Yes",60,201,75
"307",417635,"Café furniture",399,TRUE,"No",51,71,53
