Response 1,Right answer 1,Response 2,Right answer 2,Response 3,Right answer 3,Response 4,Right answer 4,Response 5,Right answer 5,Response 6,Right answer 6,Response 7,Right answer 7,Response 8,Right answer 8,Response 9,Right answer 9,Response 10,Right answer 10,Response 11,Right answer 11,Response 12,Right answer 12,Response 13,Right answer 13
45,51,35,37,55,63,25,38,35,42,30,49,40,60,20,30,60,75,35,58,35,50,60,73,30,35
50,51,35,37,58,63,30,38,50,42,25,49,28,60,25,30,35,75,25,58,60,50,62,73,25,35
5,51,66,37,5,63,888,38,45,42,3,49,343,60,54,30,45,75,45,58,3,50,99,73,34,35
42,51,33,37,39,63,35,38,35,42,31,49,30,60,22,30,48,75,28,58,33,50,58,73,30,35
38,51,32,37,45,63,38,38,38,42,28,49,40,60,35,30,55,75,35,58,38,50,70,73,35,35
63,51,43,37,65,63,38,38,45,42,32,49,35,60,31,30,57,75,28,58,35,50,68,73,28,35
51,51,37,37,45,63,34,38,40,42,26,49,45,60,29,30,63,75,39,58,42,50,56,73,30,35
45,51,40,37,50,63,38,38,48,42,28,49,30,60,26,30,65,75,27,58,30,50,68,73,27,35
50,51,32,37,42,63,26,38,30,42,36,49,48,60,22,30,62,75,33,58,36,50,65,73,22,35
48,51,34,37,56,63,28,38,27,42,33,49,37,60,28,30,66,75,43,58,41,50,73,73,29,35
1980,51,1990,37,1975,63,1995,38,1976,42,1990,49,1988,60,2000,30,1975,75,1990,58,1985,50,1960,73,1982,35
50,51,30,37,60,63,27,38,38,42,28,49,35,60,35,30,55,75,33,58,37,50,60,73,25,35
40,51,35,37,60,63,30,38,50,42,30,49,30,60,32,30,60,75,28,58,45,50,60,73,29,35
42,51,36,37,44,63,35,38,42,42,27,49,22,60,20,30,45,75,23,58,31,50,53,73,28,35
45,51,36,37,50,63,40,38,40,42,30,49,30,60,28,30,55,75,30,58,35,50,60,73,32,35
45,51,39,37,53,63,31,38,40,42,29,49,44,60,28,30,59,75,29,58,44,50,62,73,27,35
55,51,38,37,60,63,32,38,40,42,28,49,30,60,20,30,65,75,40,58,36,50,72,73,26,35
45,51,33,37,43,63,26,38,32,42,25,49,26,60,30,30,42,75,36,58,34,50,56,73,21,35
42,51,28,37,38,63,25,38,45,42,25,49,37,60,22,30,55,75,35,58,35,50,65,73,32,35
42,51,33,37,47,63,35,38,37,42,26,49,22,60,30,30,62,75,28,58,44,50,68,73,32,35
32,51,35,37,45,63,28,38,35,42,24,49,26,60,20,30,51,75,24,58,25,50,60,73,22,35
-,51,-,37,-,63,-,38,-,42,-,49,-,60,-,30,-,75,-,58,-,50,-,73,-,35
55,51,36,37,56,63,42,38,44,42,34,49,38,60,30,30,60,75,30,58,37,50,60,73,40,35
40,51,40,37,50,63,40,38,35,42,30,49,30,60,25,30,55,75,30,58,35,50,70,73,35,35
40,51,35,37,55,63,40,38,38,42,28,49,30,60,25,30,60,75,25,58,30,50,60,73,28,35
40,51,35,37,40,63,40,38,35,42,28,49,25,60,25,30,50,75,25,58,35,50,60,73,28,35
-,51,-,37,-,63,-,38,-,42,-,49,-,60,-,30,-,75,-,58,-,50,-,73,-,35
50,51,35,37,60,63,30,38,35,42,40,49,30,60,30,30,70,75,35,58,40,50,60,73,30,35
42,51,40,37,67,63,35,38,40,42,35,49,23,60,30,30,45,75,28,58,35,50,73,73,30,35
