"County","State","VotesTrump","VotesClinton","PercTrump","PercClinton","PercWhite","HIncome"
"Benton","Washington",31573,17755,60,33.7,82.4,60485
"Benzie","Michigan",5539,4108,54.2,40.2,96.1,47366
"Bergen","New Jersey",163220,209251,42.5,54.5,71.9,83794
"Berkeley","South Carolina",44223,30492,56,38.6,66.5,52427
"Berkeley","West Virginia",28210,12287,66,28.7,87.8,53515
"Berks","Pennsylvania",93094,75169,52.9,42.7,83.2,55170
"Berkshire","Massachusetts",16799,43540,26,67.5,92.5,48450
"Bernalillo","New Mexico",93874,141960,34.5,52.2,69.4,48801
"Berrien","Georgia",5408,1041,82.4,15.9,84.7,32258
"Berrien","Michigan",38646,29496,53.8,41,78.3,43633
"Bertie","North Carolina",3476,5837,37.1,62.2,35.2,30768
"Bexar","Texas",240161,319191,41,54.5,72.9,50112
"Bibb","Alabama",6733,1874,77,21.4,75.8,36447
"Bibb","Georgia",22589,34383,38.7,58.9,43.2,37550
"Bienville","Louisiana",3756,3129,53.6,44.7,55.3,31543
"Big Horn","Montana",1833,2061,44,49.4,31.4,39966
"Big Horn","Wyoming",4067,594,80.1,11.7,94.4,52589
"Big Stone","Minnesota",1607,921,58.9,33.7,98.2,46313
"Billings","North Dakota",492,58,83.1,9.8,98.6,57083
"Bingham","Idaho",10907,2924,65.6,17.6,80.6,47941
"Black Hawk","Iowa",27382,32006,43.3,50.6,85.6,45747
"Blackford","Indiana",3349,1243,69.5,25.8,97.7,39225
"Bladen","North Carolina",8511,7021,54.1,44.6,56.3,30164
"Blaine","Idaho",3340,6416,31.1,59.8,84.9,64042
"Blaine","Montana",1259,1187,47.6,44.9,48.2,37151
"Blaine","Nebraska",273,30,87.2,9.6,99.2,42917
"Blaine","Oklahoma",2884,711,76,18.7,79.7,44206
"Blair","Pennsylvania",37224,13093,71.5,25.2,96.2,42992
"Blanco","Texas",4212,1244,74.3,21.9,90.3,49487
"Bland","Virginia",2572,453,82.3,14.5,95.5,42139
"Bleckley","Georgia",3717,1094,75.3,22.2,70.1,36073
"Bledsoe","Tennessee",3621,896,77.9,19.3,93.6,33443
"Blount","Alabama",22808,2150,89.9,8.5,92.6,44145
"Blount","Tennessee",37385,12085,72.1,23.3,93.5,45991
"Blue Earth","Minnesota",15667,14428,47.1,43.4,92.8,49935
"Boise","Idaho",2673,777,70.1,20.4,95.4,41056
"Bolivar","Mississippi",4251,8410,33.1,65.5,33.5,28599
"Bollinger","Missouri",4827,705,85.1,12.4,97.9,37716
"Bon Homme","South Dakota",2105,704,70.8,23.7,89.8,40980
"Bond","Illinois",4884,2066,65.5,27.7,90.9,48163
"Bonner","Idaho",10220,5140,60.8,30.6,96,41414
"Bonneville","Idaho",26699,8930,60.4,20.2,90.6,50872
"Boone","Arkansas",12225,2925,75.9,18.2,96.5,38506
"Boone","Illinois",12261,8952,54.2,39.6,84.4,60893
"Boone","Indiana",19654,10181,61.3,31.8,95.3,67255
"Boone","Iowa",7458,5517,53.3,39.5,97,51826
"Boone","Kentucky",39082,15026,67.9,26.1,91.8,67225
"Boone","Missouri",36146,41072,43.4,49.3,82.8,48627
"Boone","Nebraska",2299,414,80.2,14.4,98.5,45246
"Boone","West Virginia",6483,1783,74.9,20.6,98.5,42156
"Borden","Texas",330,31,90.4,8.5,93.6,71607
"Bosque","Texas",6325,1277,81.1,16.4,89.9,44742
"Bossier","Louisiana",35451,12638,71.2,25.4,72.2,53248
"Botetourt","Virginia",13369,4492,71.7,24.1,94.9,65935
"Bottineau","North Dakota",2482,734,72.2,21.4,95.1,51667
"Boulder","Colorado",34867,114294,21.7,71.3,87.2,67956
"Boundary","Idaho",3789,933,73.6,18.1,94.8,37003
"Bourbon","Kansas",4314,1306,72.9,22.1,93,39591
"Bourbon","Kentucky",5569,2791,63.3,31.7,88.1,40933
"Bowie","Texas",24913,8831,72.3,25.6,68.8,42346
"Bowman","North Dakota",1445,227,81.7,12.8,97.9,56964
"Box Butte","Nebraska",3550,953,74.6,20,89.8,46373
"Box Elder","Utah",10324,1814,62.4,11,91.8,57292
"Boyd","Kentucky",13591,6021,66.4,29.4,94.7,40379
"Boyd","Nebraska",978,128,85.6,11.2,97,41279
"Boyle","Kentucky",8040,4281,62.1,33.1,88.2,41473
"Bracken","Kentucky",2711,705,76.9,20,97.8,39196
"Bradford","Florida",8913,2924,73.7,24.2,76.4,40259
"Bradford","Pennsylvania",17957,6263,70.7,24.7,97.5,46963
"Bradley","Arkansas",2163,1317,59.2,36.1,60.3,30409
"Bradley","Tennessee",29761,7070,77.5,18.4,90.3,41083
"Branch","Michigan",11025,4740,66.9,28.7,92.9,41856
"Brantley","Georgia",5561,619,88.5,9.8,94.4,36070
"Braxton","West Virginia",3516,1315,69.4,26,98.2,31848
"Brazoria","Texas",72653,43075,60.4,35.8,70.1,67603
"Brazos","Texas",38662,23041,58.5,34.9,73.3,38310
"Breathitt","Kentucky",3991,1537,69.6,26.8,98.3,24045
"Breckinridge","Kentucky",6484,1960,73.9,22.3,95.7,38907
