Years,Weeks,Log.Rain,Mean.Temp,Humidity,Wind.Dir.Speed,ln(SO2)
1992,27,3.56671182,17.94285714,72.0952381,-154.2919315,0.150387476
1992,28,4.191168747,17.07142857,68.71428571,-117.6686595,-0.439741467
1992,29,1.481604541,19.47142857,61.19047619,-125.6154061,0.009715398
1992,30,2.525728644,19.47142857,60.0952381,-48.70580883,0.171371671
1992,31,2.219203484,21.05714286,57.85714286,-125.0383359,-0.421793774
1992,32,2.772588722,23.04285714,49.80952381,-133.4958122,-0.044982493
1992,33,1.029619417,17.71428571,61.38095238,-103.1945778,-0.256202173
1992,34,2.251291799,20.55714286,67.85714286,-99.65354053,0.041995908
1992,35,2.923161581,20.41428571,61.76190476,-116.8701534,0.270894968
1992,36,2.2300144,11.64285714,72.04761905,-98.28194388,-0.256202173
1992,37,2.128231706,14.32857143,69.47619048,-117.2385905,0.041995908
1992,40,2.261763098,11.27142857,76.66666667,106.8531336,0.375922382
1992,41,1.30833282,6.328571429,76,-21.61796476,0.336372318
1992,42,2.459588842,3.914285714,78.52380952,-143.9773297,-0.712463781
1992,43,3.328626689,3.542857143,84,-116.9892952,-0.351306261
1992,44,2.681021529,4.242857143,88.57142857,-142.1052348,-0.574275647
1992,45,1.360976553,4.842857143,82.19047619,-105.6500759,-0.342052282
1992,46,2.208274414,2.628571429,85.33333333,-118.1849816,-0.751346032
1992,48,0.741937345,2.342857143,84.33333333,-130.334278,0.174344649
1992,49,3.310543013,1.328571429,91.14285714,178.1389093,0.754448541
1992,50,3.08190997,0.485714286,91.38095238,-79.21764642,1.036119701
1992,51,1.526056303,-1.071428571,94.19047619,151.8349249,-0.174792375
1992,52,-0.510825624,-8,87.66666667,-177.4889744,1.548478166
1993,1,2.653241965,-7.014285714,84.95238095,-154.446115,1.326910275
1993,2,1.16315081,5.142857143,75.04761905,-117.4475624,0.310194579
1993,3,1.987874348,5.771428571,73,-115.4428044,-0.05849003
1993,8,3.152736022,-4.014285714,92.57142857,-60.32724682,1.50295123
1993,9,-0.510825624,-3.942857143,84.66666667,85.66678849,1.630567154
1993,10,0.641853886,-2.457142857,81.80952381,-43.1452109,1.453800797
1993,11,1.722766598,5.942857143,74.19047619,-90.20121689,0.313752155
1993,12,0.916290732,5.928571429,71.42857143,-62.25255823,0.612924298
1993,13,1.916922612,-0.6,83.23809524,-15.28107772,1.154063959
1993,14,2.674148649,4.585714286,72.61904762,-83.96057622,0.413616128
1993,15,0,4.5,73.19047619,53.97159788,0.751636684
1993,16,2.93385687,9.2,68.23809524,-75.94189365,0.634596585
1993,18,2.351375257,12.15714286,66.47619048,75.26246094,0.634141272
1993,19,-1.609437912,16.21428571,48.38095238,126.6630007,-0.038176081
1993,20,1.223775432,16.35714286,54.61904762,73.04287745,0.353407001
1993,21,3.020424886,14.72857143,78.57142857,-98.94622897,0.411195802
1993,22,-0.223143551,15.92857143,59.0952381,-99.54579594,-0.177646245
1993,23,2.302585093,18.98571429,63.76190476,14.61466194,0.600539661
1993,24,3.234749174,13.48571429,75.47619048,-76.03946146,0.19427742
1993,25,4.130355,15.01428571,76.71428571,-96.96925256,0.29670541
1993,27,1.609437912,16.94285714,62.80952381,-66.3125401,0.453946723
1993,28,3.407841924,13.3,76.71428571,-54.43208495,-0.564876584
1993,29,3.487375078,15.85714286,82.52380952,-102.5376984,-0.748083042
1993,30,2.163323026,15.57142857,73.95238095,-110.3334124,-1.043451148
1993,31,1.686398954,20.21428571,62.52380952,-126.6781874,-0.890428173
1993,32,1.686398954,16.1,62.33333333,-87.23887796,-0.773245087
1993,34,2.721295428,15.82857143,69.23809524,-95.17682356,0.349043521
1993,35,4.11414719,10.45714286,81.76190476,-60.42767559,0.291804189
1993,36,2.501435952,11.71428571,78,-107.4111822,-0.234689149
1993,37,3.104586678,12.84285714,81.52380952,-133.9640904,-0.931505889
1993,39,2.850706502,10.42857143,76.9047619,-169.2497727,-0.040226462
1993,40,1.722766598,11.37142857,80.47619048,168.5439435,-0.609649185
1993,41,1.589235205,12.25714286,81.76190476,-171.5636869,-1.194732341
1993,42,2.424802726,4.828571429,85.71428571,-91.16889745,0.30460962
1993,43,3.384390263,2.6,94.61904762,21.46764019,0.63700742
1993,45,3.33220451,5.857142857,94.71428571,168.7540895,0.552537599
1993,46,2.272125886,-1.114285714,89.04761905,-75.83285803,0.920733416
1993,47,2.379546134,-5.057142857,92.14285714,147.4796038,1.354867849
1993,48,-0.223143551,-4.885714286,88.76190476,170.8935821,1.62080226
1993,49,2.091864062,3.185714286,84.61904762,-114.6993456,0.195895332
1993,50,1.931521412,2.385714286,81.28571429,-126.122498,-0.731299259
1993,51,3.725693427,2.928571429,83.23809524,-114.2859614,-0.366180553
1993,52,1.481604541,-1.414285714,87,-117.5123771,-0.170509739
1993,53,1.481604541,6.5,72,-129.7829904,-1.97678609
1994,1,2.116255515,3.157142857,77.57142857,-144.401199,-0.430235232
1994,3,0.470003629,-1.628571429,80.47619048,-83.61425751,0.957014551
1994,4,3.325036021,2.142857143,81.28571429,-88.09881928,0.080697817
